"Gene","Frequencia_afetacoes","Percentual"
"LOC129936559",1,0.01
"LOC129936560",1,0.01
"LOC129936561",1,0.01
"LOC129936562",1,0.01
"LOC129936563",1,0.01
"LOC129936564",1,0.01
"LOC129936565",1,0.01
"LOC129936566",1,0.01
"LOC129936567",1,0.01
"LOC129936568",1,0.01
"LOC129936569",1,0.01
"LOC129936570",1,0.01
"LOC129936571",1,0.01
"LOC129936572",1,0.01
"LOC129936573",1,0.01
"LOC129936574",1,0.01
"LOC129936575",1,0.01
"LOC129936576",1,0.01
"LOC129936577",1,0.01
"LOC129936578",1,0.01
"LOC129936579",1,0.01
"LOC129936580",1,0.01
"LOC129936581",1,0.01
"LOC129936582",1,0.01
"LOC129936583",1,0.01
"LOC129936584",1,0.01
"LOC129936585",1,0.01
"LOC129936586",1,0.01
"LOC129936587",1,0.01
"LOC129936588",1,0.01
"LOC129936589",1,0.01
"LOC129936590",1,0.01
"LOC129936591",1,0.01
"LOC129936592",1,0.01
"LOC129936593",1,0.01
"LOC129936594",1,0.01
"LOC129936595",1,0.01
"LOC129936596",1,0.01
"LOC129936597",1,0.01
"LOC129936598",1,0.01
"LOC129936599",1,0.01
"LOC129936600",1,0.01
"LOC129936601",1,0.01
"LOC129936602",1,0.01
"LOC129936603",1,0.01
"LOC129936604",1,0.01
"LOC129936605",1,0.01
"LOC129936606",1,0.01
"LOC129936607",1,0.01
"LOC129936608",1,0.01
"LOC129936609",1,0.01
"LOC129936610",1,0.01
"LOC129936611",1,0.01
"LOC129936612",1,0.01
"LOC129936613",1,0.01
"LOC129936614",1,0.01
"LOC129936615",1,0.01
"LOC129936616",1,0.01
"LOC129936617",1,0.01
"LOC129936618",1,0.01
"LOC129936619",1,0.01
"LOC129936620",1,0.01
"LOC129936621",1,0.01
"LOC129936622",1,0.01
"LOC129936623",1,0.01
"LOC129936624",1,0.01
"LOC129936625",1,0.01
"LOC129936626",1,0.01
"LOC129936627",1,0.01
"LOC129936628",1,0.01
"LOC129936629",1,0.01
"LOC129936630",1,0.01
"LOC129936631",1,0.01
"LOC129936632",1,0.01
"LOC129936633",1,0.01
"LOC129936634",1,0.01
"LOC129936635",1,0.01
"LOC129936636",1,0.01
"LOC129936637",1,0.01
"LOC129936638",1,0.01
"LOC129936639",1,0.01
"LOC129936640",1,0.01
"LOC129936641",1,0.01
"LOC129936642",1,0.01
"LOC129936643",1,0.01
"LOC129936644",1,0.01
"LOC129936645",1,0.01
"LOC129936646",1,0.01
"LOC129936647",1,0.01
"LOC129936648",1,0.01
"LOC129936649",1,0.01
"LOC129936650",1,0.01
"LOC129936651",1,0.01
"LOC129936652",1,0.01
"LOC129936653",1,0.01
"LOC129936654",1,0.01
"LOC129936655",1,0.01
"LOC129936656",1,0.01
"LOC129936657",1,0.01
"LOC129936658",1,0.01
"LOC129936659",1,0.01
"LOC129936660",1,0.01
"LOC132088966",1,0.01
"LOC132088967",1,0.01
"LRRC2-AS1",1,0.01
"MIR564",1,0.01
"SNRK-AS1",1,0.01
"TRR-ACG2-1",1,0.01
"VIPR1-AS1",1,0.01
"ZBTB47-AS1",1,0.01
"ZKSCAN7-AS1",1,0.01
"ZNF197-AS1",1,0.01
"ZNF660-ZNF197",1,0.01
