"Gene","Frequencia_afetacoes","Percentual"
"LOC121009654",4,0.04
"LOC121009655",4,0.04
"LOC121725130",4,0.04
"LOC121725131",4,0.04
"LOC121725132",4,0.04
"LOC121725133",4,0.04
"LOC121725134",4,0.04
"LOC121725135",4,0.04
"LOC121725136",4,0.04
"LOC121725137",4,0.04
"LOC121725138",4,0.04
"LOC121725139",4,0.04
"LOC122889034",4,0.04
"LOC122889035",4,0.04
"LOC122889036",4,0.04
"LOC122889037",4,0.04
"LOC122889038",4,0.04
"LOC122889039",4,0.04
"LOC122889040",4,0.04
"LOC122889041",4,0.04
"LOC122889042",4,0.04
"LOC122889043",4,0.04
"LOC122889044",4,0.04
"LOC122889045",4,0.04
"LOC122889046",4,0.04
"LOC122889047",4,0.04
"LOC122889048",4,0.04
"LOC122889049",4,0.04
"LOC122889050",4,0.04
"LOC122889051",4,0.04
"LOC122889052",4,0.04
"LOC122889053",4,0.04
"LOC122889054",4,0.04
"LOC122889055",4,0.04
"LOC122889056",4,0.04
"LOC122889057",4,0.04
"LOC122889058",4,0.04
"LOC122889059",4,0.04
"LOC122889060",4,0.04
"LOC122889061",4,0.04
"LOC122889062",4,0.04
"LOC122889063",4,0.04
"LOC122889064",4,0.04
"LOC122889065",4,0.04
"LOC122889068",4,0.04
"LOC122889069",4,0.04
"LOC126806604",4,0.04
"LOC126806605",4,0.04
"LOC126806606",4,0.04
"LOC126806607",4,0.04
"LOC126806608",4,0.04
"LOC126806609",4,0.04
"LOC126806610",4,0.04
"LOC126806611",4,0.04
"LOC126806612",4,0.04
"LOC126806613",4,0.04
"LOC126806614",4,0.04
"LOC126806615",4,0.04
"LOC126806616",4,0.04
"LOC126806617",4,0.04
"LOC126806618",4,0.04
"LOC126806619",4,0.04
"LOC126806620",4,0.04
"LOC126806621",4,0.04
"LOC126806622",4,0.04
"LOC126806623",4,0.04
"LOC126806624",4,0.04
"LOC126806625",4,0.04
"LOC126806626",4,0.04
"LOC126806627",4,0.04
"LOC126806628",4,0.04
"LOC126806629",4,0.04
"LOC126806630",4,0.04
"LOC126806631",4,0.04
"LOC126806632",4,0.04
"LOC126806633",4,0.04
"LOC126806634",4,0.04
"LOC126806635",4,0.04
"LOC126806636",4,0.04
"LOC126806637",4,0.04
